article,highlights
"Translate phoneme to English sentence: ['SH', 'IY', 'SIL', 'HH', 'AE', 'D', 'SIL', 'JH', 'AH', 'S', 'T', 'SIL', 'K', 'W', 'IH', 'T', 'SIL', 'R', 'IH', 'HH', 'ER', 'S', 'AH', 'L', 'SIL', 'AH', 'B', 'AW', 'T', 'SIL', 'AH', 'SIL', 'HH', 'AE', 'F', 'SIL', 'AW', 'ER', 'SIL', 'B', 'IH', 'F', 'AO', 'R', 'SIL']",She had just quit rehearsal about a half hour before
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'W', 'AA', 'N', 'T', 'SIL', 'M', 'IY', 'SIL', 'T', 'UW', 'SIL', 'B', 'IY', 'SIL', 'AH', 'SIL', 'G', 'UH', 'D', 'SIL', 'B', 'OY', 'SIL']",They want me to be a good boy
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'W', 'AA', 'N', 'T', 'SIL', 'M', 'IY', 'SIL', 'T', 'UW', 'SIL', 'B', 'IY', 'SIL', 'AH', 'SIL', 'G', 'UH', 'D', 'SIL', 'B', 'OY', 'SIL']",They want me to be a good boy
"Translate phoneme to English sentence: ['AY', 'SIL', 'W', 'EH', 'N', 'T', 'SIL', 'T', 'UW', 'SIL', 'M', 'AY', 'SIL', 'EH', 'K', 'S', 'ER', 'S', 'AY', 'Z', 'SIL', 'K', 'L', 'AE', 'S', 'SIL', 'W', 'AH', 'N', 'SIL', 'D', 'EY', 'SIL']",I went to my exercise class one day
"Translate phoneme to English sentence: ['AY', 'SIL', 'W', 'EH', 'N', 'T', 'SIL', 'T', 'UW', 'SIL', 'M', 'AY', 'SIL', 'EH', 'K', 'S', 'ER', 'S', 'AY', 'Z', 'SIL', 'K', 'L', 'AE', 'S', 'SIL', 'W', 'AH', 'N', 'SIL', 'D', 'EY', 'SIL']",I went to my exercise class one day
"Translate phoneme to English sentence: ['S', 'AH', 'M', 'Z', 'SIL', 'M', 'AY', 'SIL', 'HH', 'AH', 'Z', 'B', 'AH', 'N', 'D', 'SIL', 'K', 'L', 'AE', 'S', 'SIL', 'DH', 'AH', 'SIL', 'T', 'OY', 'L', 'AH', 'T', 'SIL']",Sometimes my husband clogs the toilet
"Translate phoneme to English sentence: ['S', 'AH', 'M', 'T', 'AY', 'M', 'Z', 'SIL', 'M', 'AY', 'SIL', 'HH', 'AH', 'Z', 'B', 'AH', 'N', 'D', 'SIL', 'K', 'L', 'AA', 'G', 'Z', 'SIL', 'DH', 'AH', 'SIL', 'T', 'OY', 'L', 'AH', 'T', 'SIL']",Sometimes my husband clogs the toilet
"Translate phoneme to English sentence: ['HH', 'IY', 'SIL', 'D', 'AY', 'D', 'SIL', 'IH', 'N', 'SIL', 'AH', 'SIL', 'HH', 'OW', 'L', 'IY', 'SIL', 'K', 'AA', 'Z', 'SIL']",He died in a holy cause
"Translate phoneme to English sentence: ['HH', 'IY', 'SIL', 'D', 'AY', 'D', 'SIL', 'IH', 'N', 'SIL', 'AH', 'SIL', 'HH', 'OW', 'L', 'IY', 'SIL', 'K', 'AA', 'Z', 'SIL']",He died in a holy cause
"Translate phoneme to English sentence: ['P', 'L', 'IY', 'SIL', 'DH', 'EH', 'R', 'SIL', 'AH', 'N', 'D', 'ER', 'SIL', 'S', 'UW', 'P', 'ER', 'V', 'AH', 'N', 'T', 'SIL']",Play there under supervision
"Translate phoneme to English sentence: ['P', 'L', 'EY', 'SIL', 'DH', 'EH', 'R', 'SIL', 'AH', 'N', 'D', 'ER', 'SIL', 'S', 'UW', 'P', 'ER', 'V', 'IH', 'ZH', 'AH', 'N', 'SIL']",Play there under supervision
"Translate phoneme to English sentence: ['D', 'IH', 'S', 'T', 'R', 'OY', 'IH', 'NG', 'SIL', 'TH', 'IH', 'NG', 'Z', 'SIL', 'IH', 'Z', 'SIL', 'M', 'AH', 'CH', 'SIL', 'IY', 'Z', 'IY', 'ER', 'SIL', 'DH', 'AE', 'N', 'SIL', 'M', 'EY', 'K', 'IH', 'NG', 'SIL', 'DH', 'EH', 'M', 'SIL']",Destroying things is much easier than making them
"Translate phoneme to English sentence: ['D', 'IH', 'S', 'T', 'R', 'OY', 'IH', 'NG', 'SIL', 'TH', 'IH', 'NG', 'Z', 'SIL', 'IH', 'Z', 'SIL', 'M', 'AH', 'CH', 'SIL', 'IY', 'Z', 'IY', 'ER', 'SIL', 'DH', 'AE', 'N', 'SIL', 'M', 'EY', 'K', 'IH', 'NG', 'SIL', 'DH', 'EH', 'M', 'SIL']",Destroying things is much easier than making them
"Translate phoneme to English sentence: ['T', 'UW', 'SIL', 'W', 'EH', 'R', 'SIL', 'DH', 'AH', 'SIL', 'CH', 'IH', 'L', 'D', 'R', 'AH', 'N', 'SIL', 'AA', 'R', 'SIL']",To where the children are
"Translate phoneme to English sentence: ['T', 'UW', 'SIL', 'W', 'EH', 'R', 'SIL', 'DH', 'AH', 'SIL', 'CH', 'IH', 'L', 'D', 'R', 'AH', 'N', 'SIL', 'AA', 'R', 'SIL']",To where the children are
"Translate phoneme to English sentence: ['IH', 'T', 'SIL', 'M', 'EY', 'D', 'SIL', 'K', 'L', 'IH', 'K', 'IH', 'NG', 'SIL', 'N', 'OY', 'Z', 'SIL', 'IH', 'N', 'SIL', 'B', 'R', 'IH', 'K', 'R', 'AW', 'N', 'D', 'SIL']",It made clicking noises in background
"Translate phoneme to English sentence: ['IH', 'T', 'SIL', 'M', 'EY', 'D', 'SIL', 'K', 'L', 'IH', 'K', 'IH', 'NG', 'SIL', 'N', 'OY', 'Z', 'IH', 'Z', 'SIL', 'IH', 'N', 'SIL', 'B', 'AE', 'K', 'G', 'R', 'AW', 'N', 'D', 'SIL']",It made clicking noises in background
"Translate phoneme to English sentence: ['AY', 'V', 'SIL', 'HH', 'AE', 'D', 'SIL', 'AH', 'SIL', 'K', 'L', 'AE', 'S', 'SIL', 'AA', 'N', 'SIL', 'F', 'IH', 'Z', 'IH', 'K', 'SIL']",I've had a class on physics
"Translate phoneme to English sentence: ['AY', 'V', 'SIL', 'HH', 'AE', 'D', 'SIL', 'AH', 'SIL', 'K', 'L', 'AE', 'S', 'SIL', 'AA', 'N', 'SIL', 'F', 'IH', 'Z', 'IH', 'K', 'S', 'SIL']",I've had a class on physics
"Translate phoneme to English sentence: ['AY', 'SIL', 'R', 'IH', 'L', 'IY', 'SIL', 'L', 'AH', 'V', 'D', 'SIL', 'IH', 'T', 'SIL']",I really loved it
"Translate phoneme to English sentence: ['AY', 'SIL', 'R', 'IH', 'L', 'IY', 'SIL', 'L', 'AH', 'V', 'D', 'SIL', 'IH', 'T', 'SIL']",I really loved it
"Translate phoneme to English sentence: ['AY', 'SIL', 'D', 'OW', 'N', 'T', 'SIL', 'N', 'OW', 'SIL', 'W', 'AH', 'T', 'SIL', 'DH', 'AH', 'SIL', 'S', 'IH', 'L', 'IY', 'SIL', 'IH', 'Z', 'SIL']",I don't know what the solution is
"Translate phoneme to English sentence: ['AY', 'SIL', 'D', 'OW', 'N', 'T', 'SIL', 'N', 'OW', 'SIL', 'W', 'AH', 'T', 'SIL', 'DH', 'AH', 'SIL', 'S', 'AA', 'L', 'UW', 'SH', 'AH', 'N', 'SIL', 'IH', 'Z', 'SIL']",I don't know what the solution is
"Translate phoneme to English sentence: ['S', 'K', 'UW', 'L', 'SIL', 'W', 'AA', 'Z', 'SIL', 'S', 'ER', 'T', 'AH', 'N', 'L', 'IY', 'SIL', 'V', 'AY', 'ER', 'D', 'SIL']",School was certainly valued
"Translate phoneme to English sentence: ['S', 'K', 'UW', 'L', 'SIL', 'W', 'AA', 'Z', 'SIL', 'S', 'ER', 'T', 'AH', 'N', 'L', 'IY', 'SIL', 'V', 'AE', 'L', 'Y', 'UW', 'D', 'SIL']",School was certainly valued
"Translate phoneme to English sentence: ['DH', 'AH', 'SIL', 'W', 'EY', 'SIL', 'DH', 'AH', 'SIL', 'L', 'AO', 'SIL', 'R', 'IY', 'D', 'Z', 'SIL']",The way the law reads
"Translate phoneme to English sentence: ['DH', 'AH', 'SIL', 'W', 'EY', 'SIL', 'DH', 'AH', 'SIL', 'L', 'AO', 'SIL', 'R', 'IY', 'D', 'Z', 'SIL']",The way the law reads
"Translate phoneme to English sentence: ['W', 'IY', 'R', 'SIL', 'L', 'UH', 'K', 'IH', 'NG', 'SIL', 'AE', 'T', 'SIL', 'AH', 'SIL', 'K', 'AA', 'R', 'SIL', 'S', 'EH', 'D', 'AH', 'N', 'SIL']",We're looking at a car Saturday
"Translate phoneme to English sentence: ['W', 'IY', 'R', 'SIL', 'L', 'UH', 'K', 'IH', 'NG', 'SIL', 'AE', 'T', 'SIL', 'AH', 'SIL', 'K', 'AA', 'R', 'SIL', 'S', 'AE', 'T', 'ER', 'D', 'IY', 'SIL']",We're looking at a car Saturday
"Translate phoneme to English sentence: ['P', 'AA', 'R', 'T', 'SIL', 'AH', 'V', 'SIL', 'M', 'AY', 'SIL', 'JH', 'AA', 'B', 'SIL', 'IH', 'Z', 'SIL', 'T', 'IY', 'CH', 'IH', 'NG', 'SIL']",Part of my job is teaching
"Translate phoneme to English sentence: ['P', 'AA', 'R', 'T', 'SIL', 'AH', 'V', 'SIL', 'M', 'AY', 'SIL', 'JH', 'AA', 'B', 'SIL', 'IH', 'Z', 'SIL', 'T', 'IY', 'CH', 'IH', 'NG', 'SIL']",Part of my job is teaching
"Translate phoneme to English sentence: ['HH', 'IY', 'Z', 'SIL', 'AO', 'L', 'M', 'OW', 'S', 'T', 'SIL', 'AH', 'SIL', 'D', 'IH', 'JH', 'ER', 'SIL']",He's almost a teenager
"Translate phoneme to English sentence: ['HH', 'IY', 'Z', 'SIL', 'AO', 'L', 'M', 'OW', 'S', 'T', 'SIL', 'AH', 'SIL', 'T', 'IY', 'N', 'EY', 'JH', 'ER', 'SIL']",He's almost a teenager
"Translate phoneme to English sentence: ['DH', 'EH', 'R', 'Z', 'SIL', 'N', 'OW', 'SIL', 'S', 'M', 'OW', 'K', 'IH', 'NG', 'SIL', 'IH', 'N', 'SIL', 'EH', 'N', 'IY', 'SIL', 'P', 'AH', 'B', 'L', 'IH', 'K', 'SIL', 'EH', 'R', 'IY', 'AH', 'Z', 'SIL']",There's no smoking in any public areas
"Translate phoneme to English sentence: ['DH', 'EH', 'R', 'Z', 'SIL', 'N', 'OW', 'SIL', 'S', 'M', 'OW', 'K', 'IH', 'NG', 'SIL', 'IH', 'N', 'SIL', 'EH', 'N', 'IY', 'SIL', 'P', 'AH', 'B', 'L', 'IH', 'K', 'SIL', 'EH', 'R', 'IY', 'AH', 'Z', 'SIL']",There's no smoking in any public areas
"Translate phoneme to English sentence: ['DH', 'AH', 'SIL', 'S', 'EH', 'TH', 'R', 'AE', 'S', 'T', 'SIL', 'M', 'IH', 'D', 'AH', 'K', 'AH', 'L', 'SIL', 'S', 'T', 'ER', 'T', 'ER', 'SIL']",The Southwest Medical Center
"Translate phoneme to English sentence: ['DH', 'AH', 'SIL', 'S', 'AW', 'TH', 'W', 'EH', 'S', 'T', 'SIL', 'M', 'EH', 'D', 'AH', 'K', 'AH', 'L', 'SIL', 'S', 'EH', 'N', 'T', 'ER', 'SIL']",The Southwest Medical Center
"Translate phoneme to English sentence: ['AY', 'SIL', 'K', 'AE', 'N', 'SIL', 'HH', 'IY', 'R', 'SIL', 'IH', 'T', 'SIL', 'IH', 'N', 'SIL', 'Y', 'AO', 'R', 'SIL', 'V', 'OY', 'S', 'SIL']",I can hear it in your voice
"Translate phoneme to English sentence: ['AY', 'SIL', 'K', 'AE', 'N', 'SIL', 'HH', 'IY', 'R', 'SIL', 'IH', 'T', 'SIL', 'IH', 'N', 'SIL', 'Y', 'AO', 'R', 'SIL', 'V', 'OY', 'S', 'SIL']",I can hear it in your voice
"Translate phoneme to English sentence: ['AY', 'SIL', 'L', 'AY', 'K', 'SIL', 'T', 'UW', 'SIL', 'M', 'OW', 'SIL', 'DH', 'AH', 'SIL', 'L', 'UH', 'N', 'SIL']",I like to mow the lawn
"Translate phoneme to English sentence: ['AY', 'SIL', 'L', 'AY', 'K', 'SIL', 'T', 'UW', 'SIL', 'M', 'OW', 'SIL', 'DH', 'AH', 'SIL', 'L', 'AO', 'N', 'SIL']",I like to mow the lawn
"Translate phoneme to English sentence: ['W', 'AH', 'N', 'SIL', 'D', 'EY', 'SIL', 'W', 'UH', 'D', 'SIL', 'B', 'IY', 'SIL', 'S', 'AH', 'V', 'IH', 'ZH', 'AH', 'N', 'SIL']",One day would be sufficient
"Translate phoneme to English sentence: ['W', 'AH', 'N', 'SIL', 'D', 'EY', 'SIL', 'W', 'UH', 'D', 'SIL', 'B', 'IY', 'SIL', 'S', 'AH', 'F', 'IH', 'SH', 'AH', 'N', 'T', 'SIL']",One day would be sufficient
"Translate phoneme to English sentence: ['IH', 'T', 'S', 'SIL', 'G', 'EH', 'T', 'IH', 'NG', 'SIL', 'K', 'L', 'OW', 'S', 'SIL']",It's getting close
"Translate phoneme to English sentence: ['IH', 'T', 'S', 'SIL', 'G', 'EH', 'T', 'IH', 'NG', 'SIL', 'K', 'L', 'OW', 'S', 'SIL']",It's getting close
"Translate phoneme to English sentence: ['G', 'OW', 'SIL', 'T', 'UW', 'SIL', 'DH', 'AH', 'SIL', 'D', 'AY', 'N', 'IH', 'NG', 'SIL', 'R', 'UW', 'M', 'SIL']",Go to the dining room
"Translate phoneme to English sentence: ['G', 'OW', 'SIL', 'T', 'UW', 'SIL', 'DH', 'AH', 'SIL', 'D', 'AY', 'N', 'IH', 'NG', 'SIL', 'R', 'UW', 'M', 'SIL']",Go to the dining room
"Translate phoneme to English sentence: ['L', 'EH', 'N', 'SIL', 'HH', 'AW', 'SIL', 'T', 'UW', 'SIL', 'M', 'EH', 'ZH', 'ER', 'SIL', 'AH', 'N', 'D', 'SIL', 'S', 'K', 'AO', 'R', 'SIL', 'IH', 'T', 'SIL', 'HH', 'IY', 'R', 'SIL']",Learn how to measure and score it here
"Translate phoneme to English sentence: ['L', 'ER', 'N', 'SIL', 'HH', 'AW', 'SIL', 'T', 'UW', 'SIL', 'M', 'EH', 'ZH', 'ER', 'SIL', 'AH', 'N', 'D', 'SIL', 'S', 'K', 'AO', 'R', 'SIL', 'IH', 'T', 'SIL', 'HH', 'IY', 'R', 'SIL']",Learn how to measure and score it here
"Translate phoneme to English sentence: ['IH', 'T', 'SIL', 'L', 'OW', 'K', 'S', 'SIL', 'L', 'AY', 'K', 'SIL', 'AH', 'SIL', 'L', 'IH', 'T', 'AH', 'L', 'SIL', 'SH', 'AA', 'T', 'SIL', 'G', 'EH', 'N', 'SIL', 'HH', 'AW', 'S', 'SIL']",It looks like a little shot gun house
"Translate phoneme to English sentence: ['IH', 'T', 'SIL', 'L', 'UH', 'K', 'S', 'SIL', 'L', 'AY', 'K', 'SIL', 'AH', 'SIL', 'L', 'IH', 'T', 'AH', 'L', 'SIL', 'SH', 'AA', 'T', 'SIL', 'G', 'AH', 'N', 'SIL', 'HH', 'AW', 'S', 'SIL']",It looks like a little shot gun house
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'N', 'EH', 'V', 'ER', 'SIL', 'G', 'OW', 'SIL', 'T', 'UW', 'SIL', 'S', 'IY', 'SIL', 'DH', 'EH', 'M', 'SIL']",They never go to see them
"Translate phoneme to English sentence: ['DH', 'EY', 'SIL', 'N', 'EH', 'V', 'ER', 'SIL', 'G', 'OW', 'SIL', 'T', 'UW', 'SIL', 'S', 'IY', 'SIL', 'DH', 'EH', 'M', 'SIL']",They never go to see them
"Translate phoneme to English sentence: ['S', 'T', 'EY', 'SIL', 'AE', 'T', 'SIL', 'HH', 'OW', 'M', 'SIL', 'AH', 'N', 'D', 'SIL', 'D', 'UW', 'SIL', 'EH', 'V', 'R', 'IY', 'TH', 'IH', 'NG', 'SIL']",Stay at home and do everything
"Translate phoneme to English sentence: ['S', 'T', 'EY', 'SIL', 'AE', 'T', 'SIL', 'HH', 'OW', 'M', 'SIL', 'AH', 'N', 'D', 'SIL', 'D', 'UW', 'SIL', 'EH', 'V', 'R', 'IY', 'TH', 'IH', 'NG', 'SIL']",Stay at home and do everything
"Translate phoneme to English sentence: ['S', 'AH', 'M', 'SIL', 'DH', 'AE', 'T', 'SIL', 'JH', 'AH', 'S', 'T', 'SIL', 'S', 'IY', 'M', 'Z', 'SIL', 'W', 'IH', 'R', 'D', 'SIL', 'T', 'UW', 'SIL', 'B', 'IY', 'SIL']",Somehow that just seems weird to me
"Translate phoneme to English sentence: ['S', 'AH', 'M', 'HH', 'AW', 'SIL', 'DH', 'AE', 'T', 'SIL', 'JH', 'AH', 'S', 'T', 'SIL', 'S', 'IY', 'M', 'Z', 'SIL', 'W', 'IH', 'R', 'D', 'SIL', 'T', 'UW', 'SIL', 'M', 'IY', 'SIL']",Somehow that just seems weird to me
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'HH', 'AE', 'D', 'SIL', 'AH', 'SIL', 'L', 'IH', 'T', 'AH', 'L', 'SIL']",I have had a little
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'HH', 'AE', 'D', 'SIL', 'AH', 'SIL', 'L', 'IH', 'T', 'AH', 'L', 'SIL']",I have had a little
"Translate phoneme to English sentence: ['W', 'IY', 'SIL', 'AA', 'R', 'SIL', 'L', 'UH', 'K', 'IH', 'NG', 'SIL', 'F', 'AO', 'R', 'W', 'ER', 'D', 'SIL', 'T', 'UW', 'SIL', 'DH', 'AE', 'T', 'SIL']",We are looking forward to that
"Translate phoneme to English sentence: ['W', 'IY', 'SIL', 'AA', 'R', 'SIL', 'L', 'UH', 'K', 'IH', 'NG', 'SIL', 'F', 'AO', 'R', 'W', 'ER', 'D', 'SIL', 'T', 'UW', 'SIL', 'DH', 'AE', 'T', 'SIL']",We are looking forward to that
"Translate phoneme to English sentence: ['AH', 'SIL', 'L', 'AA', 'T', 'SIL', 'AH', 'V', 'SIL', 'AH', 'DH', 'ER', 'SIL', 'K', 'AH', 'M', 'P', 'AH', 'N', 'IY', 'Z', 'SIL', 'W', 'IH', 'L', 'SIL']",A lot of other companies will
"Translate phoneme to English sentence: ['AH', 'SIL', 'L', 'AA', 'T', 'SIL', 'AH', 'V', 'SIL', 'AH', 'DH', 'ER', 'SIL', 'K', 'AH', 'M', 'P', 'AH', 'N', 'IY', 'Z', 'SIL', 'W', 'IH', 'L', 'SIL']",A lot of other companies will
"Translate phoneme to English sentence: ['L', 'EH', 'T', 'SIL', 'M', 'IY', 'SIL', 'AE', 'K', 'S', 'SIL', 'Y', 'UW', 'SIL', 'DH', 'AH', 'SIL', 'W', 'EH', 'SH', 'AH', 'N', 'SIL']",Let me ask you the question
"Translate phoneme to English sentence: ['L', 'EH', 'T', 'SIL', 'M', 'IY', 'SIL', 'AE', 'S', 'K', 'SIL', 'Y', 'UW', 'SIL', 'DH', 'AH', 'SIL', 'K', 'W', 'EH', 'S', 'CH', 'AH', 'N', 'SIL']",Let me ask you the question
"Translate phoneme to English sentence: ['AY', 'SIL', 'M', 'IY', 'N', 'SIL', 'DH', 'AH', 'SIL', 'S', 'AE', 'T', 'ER', 'D', 'IY', 'SIL', 'N', 'AY', 'T', 'SIL', 'S', 'P', 'EH', 'SH', 'AH', 'L', 'SIL', 'S', 'T', 'AH', 'F', 'SIL']",I mean the Saturday night special stuff
"Translate phoneme to English sentence: ['AY', 'SIL', 'M', 'IY', 'N', 'SIL', 'DH', 'AH', 'SIL', 'S', 'AE', 'T', 'ER', 'D', 'IY', 'SIL', 'N', 'AY', 'T', 'SIL', 'S', 'P', 'EH', 'SH', 'AH', 'L', 'SIL', 'S', 'T', 'AH', 'F', 'SIL']",I mean the Saturday night special stuff
"Translate phoneme to English sentence: ['W', 'EH', 'L', 'SIL', 'W', 'AH', 'T', 'SIL', 'D', 'UW', 'SIL', 'Y', 'UW', 'SIL', 'TH', 'IH', 'NG', 'K', 'SIL']",Well what do you think
"Translate phoneme to English sentence: ['W', 'EH', 'L', 'SIL', 'W', 'AH', 'T', 'SIL', 'D', 'UW', 'SIL', 'Y', 'UW', 'SIL', 'TH', 'IH', 'NG', 'K', 'SIL']",Well what do you think
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'N', 'OW', 'SIL', 'AH', 'B', 'AW', 'T', 'S', 'SIL', 'T', 'UW', 'SIL', 'IH', 'T', 'SIL']",I have no objections to it
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'N', 'OW', 'SIL', 'AH', 'B', 'JH', 'EH', 'K', 'SH', 'AH', 'N', 'Z', 'SIL', 'T', 'UW', 'SIL', 'IH', 'T', 'SIL']",I have no objections to it
"Translate phoneme to English sentence: ['DH', 'AH', 'SIL', 'K', 'AA', 'L', 'IH', 'JH', 'SIL', 'R', 'AE', 'K', 'S', 'SIL']",The college ranks
"Translate phoneme to English sentence: ['DH', 'AH', 'SIL', 'K', 'AA', 'L', 'IH', 'JH', 'SIL', 'R', 'AE', 'NG', 'K', 'S', 'SIL']",The college ranks
"Translate phoneme to English sentence: ['AH', 'B', 'AW', 'T', 'SIL', 'AH', 'SIL', 'TH', 'AW', 'Z', 'AH', 'N', 'D', 'SIL', 'B', 'AE', 'D', 'SIL', 'CH', 'EH', 'K', 'S', 'SIL']",About a thousand bad checks
"Translate phoneme to English sentence: ['AH', 'B', 'AW', 'T', 'SIL', 'AH', 'SIL', 'TH', 'AW', 'Z', 'AH', 'N', 'D', 'SIL', 'B', 'AE', 'D', 'SIL', 'CH', 'EH', 'K', 'S', 'SIL']",About a thousand bad checks
"Translate phoneme to English sentence: ['DH', 'EH', 'R', 'SIL', 'AO', 'L', 'SIL', 'G', 'UH', 'D', 'SIL', 'AE', 'T', 'SIL', 'DH', 'IH', 'S', 'SIL', 'P', 'OY', 'N', 'T', 'SIL']",They're all gone at this point
"Translate phoneme to English sentence: ['DH', 'EH', 'R', 'SIL', 'AO', 'L', 'SIL', 'G', 'AO', 'N', 'SIL', 'AE', 'T', 'SIL', 'DH', 'IH', 'S', 'SIL', 'P', 'OY', 'N', 'T', 'SIL']",They're all gone at this point
"Translate phoneme to English sentence: ['T', 'AO', 'K', 'SIL', 'T', 'UW', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'N', 'SIL', 'DH', 'AH', 'SIL', 'N', 'EH', 'K', 'S', 'T', 'SIL', 'G', 'OW', 'SIL', 'ER', 'AW', 'N', 'D', 'SIL']",Talk to you on the next go around
"Translate phoneme to English sentence: ['T', 'AO', 'K', 'SIL', 'T', 'UW', 'SIL', 'Y', 'UW', 'SIL', 'AA', 'N', 'SIL', 'DH', 'AH', 'SIL', 'N', 'EH', 'K', 'S', 'T', 'SIL', 'G', 'OW', 'SIL', 'ER', 'AW', 'N', 'D', 'SIL']",Talk to you on the next go around
"Translate phoneme to English sentence: ['B', 'IH', 'K', 'AO', 'Z', 'SIL', 'AH', 'V', 'SIL', 'DH', 'AH', 'SIL', 'IH', 'N', 'S', 'T', 'IH', 'L', 'SIL', 'F', 'UW', 'D', 'SIL']",Because of the institutional food
"Translate phoneme to English sentence: ['B', 'IH', 'K', 'AO', 'Z', 'SIL', 'AH', 'V', 'SIL', 'DH', 'AH', 'SIL', 'IH', 'N', 'S', 'T', 'IH', 'T', 'UW', 'SH', 'AH', 'N', 'AH', 'L', 'SIL', 'F', 'UW', 'D', 'SIL']",Because of the institutional food
"Translate phoneme to English sentence: ['IH', 'T', 'SIL', 'W', 'AA', 'Z', 'AH', 'N', 'T', 'SIL', 'AE', 'Z', 'SIL', 'B', 'AE', 'D', 'SIL', 'AE', 'Z', 'SIL', 'DH', 'IH', 'S', 'SIL', 'L', 'AE', 'S', 'T', 'SIL', 'Y', 'IH', 'R', 'SIL']",It wasn't as bad as this last year
"Translate phoneme to English sentence: ['IH', 'T', 'SIL', 'W', 'AA', 'Z', 'AH', 'N', 'T', 'SIL', 'AE', 'Z', 'SIL', 'B', 'AE', 'D', 'SIL', 'AE', 'Z', 'SIL', 'DH', 'IH', 'S', 'SIL', 'L', 'AE', 'S', 'T', 'SIL', 'Y', 'IH', 'R', 'SIL']",It wasn't as bad as this last year
"Translate phoneme to English sentence: ['W', 'IY', 'SIL', 'AE', 'T', 'SIL', 'L', 'IY', 'S', 'T', 'SIL', 'AH', 'G', 'R', 'IY', 'SIL', 'AA', 'N', 'SIL', 'W', 'AH', 'T', 'SIL', 'W', 'IY', 'SIL', 'EH', 'N', 'JH', 'OY', 'SIL']",We at least agree on what we enjoy
"Translate phoneme to English sentence: ['W', 'IY', 'SIL', 'AE', 'T', 'SIL', 'L', 'IY', 'S', 'T', 'SIL', 'AH', 'G', 'R', 'IY', 'SIL', 'AA', 'N', 'SIL', 'W', 'AH', 'T', 'SIL', 'W', 'IY', 'SIL', 'EH', 'N', 'JH', 'OY', 'SIL']",We at least agree on what we enjoy
"Translate phoneme to English sentence: ['AY', 'SIL', 'AE', 'M', 'SIL', 'TH', 'R', 'IY', 'SIL', 'L', 'AE', 'F', 'T', 'SIL', 'L', 'AH', 'V', 'IH', 'NG', 'SIL', 'AE', 'T', 'SIL', 'HH', 'OW', 'M', 'SIL']",I have three left living at home
"Translate phoneme to English sentence: ['AY', 'SIL', 'HH', 'AE', 'V', 'SIL', 'TH', 'R', 'IY', 'SIL', 'L', 'EH', 'F', 'T', 'SIL', 'L', 'IH', 'V', 'IH', 'NG', 'SIL', 'AE', 'T', 'SIL', 'HH', 'OW', 'M', 'SIL']",I have three left living at home
"Translate phoneme to English sentence: ['N', 'AA', 'T', 'SIL', 'AY', 'D', 'AH', 'N', 'T', 'SIL', 'Y', 'EH', 'S', 'SIL', 'T', 'UW', 'SIL', 'DH', 'AH', 'SIL', 'G', 'AH', 'V', 'ER', 'N', 'M', 'AH', 'N', 'T', 'SIL']",Not identify yourself to the government
"Translate phoneme to English sentence: ['N', 'AA', 'T', 'SIL', 'AY', 'D', 'EH', 'N', 'T', 'AH', 'F', 'AY', 'SIL', 'Y', 'ER', 'S', 'EH', 'L', 'F', 'SIL', 'T', 'UW', 'SIL', 'DH', 'AH', 'SIL', 'G', 'AH', 'V', 'ER', 'N', 'M', 'AH', 'N', 'T', 'SIL']",Not identify yourself to the government
"Translate phoneme to English sentence: ['IH', 'F', 'SIL', 'DH', 'EH', 'R', 'SIL', 'S', 'T', 'AA', 'R', 'T', 'S', 'SIL', 'T', 'UW', 'SIL', 'B', 'IY', 'SIL', 'AH', 'SIL', 'L', 'AA', 'T', 'SIL', 'AH', 'V', 'SIL', 'V', 'AY', 'L', 'AH', 'S', 'SIL']",If there starts to be a lot of violence
"Translate phoneme to English sentence: ['IH', 'F', 'SIL', 'DH', 'EH', 'R', 'SIL', 'S', 'T', 'AA', 'R', 'T', 'S', 'SIL', 'T', 'UW', 'SIL', 'B', 'IY', 'SIL', 'AH', 'SIL', 'L', 'AA', 'T', 'SIL', 'AH', 'V', 'SIL', 'V', 'AY', 'AH', 'L', 'AH', 'N', 'S', 'SIL']",If there starts to be a lot of violence
"Translate phoneme to English sentence: ['AY', 'L', 'SIL', 'S', 'L', 'AY', 'S', 'SIL', 'W', 'AY', 'T', 'SIL', 'G', 'R', 'EY', 'P', 'SIL']",I'll slice white grape
"Translate phoneme to English sentence: ['AY', 'L', 'SIL', 'S', 'L', 'AY', 'S', 'SIL', 'W', 'AY', 'T', 'SIL', 'G', 'R', 'EY', 'P', 'SIL']",I'll slice white grape
